text,name,cluster
They seem to have a hold on it in Korea the next week will be important imo to see if numbers drop but at this rate they could be resuming life again next month and that goes in line with the rumours of Schools going back in April 6,onceidle,4
It is also nice to note that the number of recoveries have exceeded the number of new infected cases for the 3rd day in a row,VelvetLegends,3
the coronavirus is doing better. the numbers have been going down for new cases and the numbers have been going up for cured. i think if everyone stays at home then this can go away and tours like bts ( example because it’s a big tour ) can go on. but this is really dangerous!!,becky_rivard,3
"everyone, just stay gone if you don’t feel good. don’t take the chance, please. use hand sanitizer all the time. wash your hands 24/7. take vitamins, rest, drink water. TAKE CARE OF YOURSELF",becky_rivard,1
"This is actually pretty ""good"" going by previous numbers in Korea.. I mean nothing is good but these few past days are showing a decline in new cases an a rise in recoveries. The issue with the virus is Europe and USA now",onceidle,3
We are already taking concrete steps to help limit the spread of the coronavirus - from increasing access to fast testing and preparing vaccination campaigns to facilitating safe travel when necessary. ,European Commission,4
"No. The test is for SARS-COV-2, there isn't a test for COVID-19. A doctor diagnosis COVID-19 after a positive test for SARS-CoV-2 depending on other symptoms. This lying about positive COVID-19 tests needs to stop.",Trevor Godwin,3
All projections for covid19 deaths were wrong. A PROJECTION is not a win. NO official announcement has been announced yet.,Brenda Blades-Deszell,4
"We are aware of reports from #Denmark of a number of people infected with coronavirus from mink, with some genetic changes in the virus. We are in touch with the Danish authorities to find out more about this event.",World Health Organization,4
SARS-CoV-2 virus with 4 changes in the gene has been found in humans - a few of them with direct contact to mink - others without (have got it from other humans). The changed SARS-CoV-2 have in laboratory proved more stable against human antibodies made by the unchanged virus.,Christen Bang-Madsen ,4
"With population immunity against polio & measles dropping due to #COVID19, the  faces a perfect storm of vaccine-preventable disease outbreaks. This situation threatens progress protecting children everywhere.",World Health Organization,2
"I believe WHO knows that Covid-19 is a bioweapon from very early. They keep silent about it because China ask they too. I pray these scientists could not sleep at every night, for there are too much bloods on their hands.",Zhuzhutaiping,4
"Nearly all vaccines need to be transported and distributed between 2C and 8C in what comprises the so-called cold chain. And most of the Covid-19 vaccines under development, according to the World Health Organisation (WHO), will need to be refrigerated at temperatures well below 0C, the freezing point of water.",Soutik Biswas,2
Covid-19: How a 'warm vaccine' could help India tackle coronavirus. Imagine a Covid-19 vaccine that is heat tolerant and can be transported to remote towns and villages for tens of millions of jabs without depending on the cold chain.,Soutik Biswas,2
